,date,USD/INR exchange rate,Federal funds rate,Ethanol Futures CLOSE,CBOE Volatility Index (VIX) CLOSE,India Inflation data Core CPI,USD / Brazilian Real Rate,ICEUS Sugar #11 CLOSE
81,2021-02-25,73.06,0.07,1.729,28.89,4.06,5.53,17.84
82,2020-02-11,71.23,1.55,1.34,15.18,7.35,4.33,15.41
83,2020-08-18,74.66,0.1,1.29,21.51,5.5,5.47,12.89
84,2021-03-10,72.76,0.07,1.801,22.56,4.06,5.67,15.96
85,2020-02-19,71.63,1.58,1.358,14.38,4.2,4.37,15.58
86,2021-03-24,72.62,0.07,1.8,21.2,5.03,5.62,15.63
87,2020-09-11,73.48,0.09,1.306,26.87,5.5,5.32,11.92
88,2021-04-06,73.48,0.07,1.91,18.12,5.03,5.6,15.16
89,2020-03-19,74.94,0.25,1.042,72.0,3.9,5.1,10.59
90,2020-09-24,73.75,0.09,1.31,28.51,5.5,5.51,12.84
91,2021-04-23,75.22,0.07,2.199,18.71,5.52,5.48,16.91
92,2020-03-31,75.52,1.55,0.9209999999999999,53.54,7.35,5.21,10.42
93,2021-05-06,73.59,0.06,2.34,19.15,5.52,5.28,17.55
94,2020-04-15,76.85,0.05,0.97,40.84,4.0,5.24,10.16
95,2020-10-16,73.44,0.09,1.44,27.41,5.5,5.65,14.43
96,2021-05-20,73.03,0.06,2.35,22.18,4.29,5.28,17.04
97,2020-04-22,76.07,0.05,0.941,41.98,4.0,5.46,9.83
98,2020-10-29,74.23,0.09,1.39,37.59,5.5,5.78,14.4
99,2020-04-27,76.34,0.04,0.9470000000000001,33.29,4.0,5.65,9.21
100,2020-11-13,74.54,0.09,1.48,23.1,5.5,5.46,14.96
101,2020-05-06,76.06,0.05,1.068,34.12,4.0,5.72,10.27
102,2020-05-14,75.48,0.05,1.1079999999999999,32.61,4.0,5.89,10.46
103,2020-05-21,75.76,0.05,1.081,29.53,4.0,5.69,10.98
104,2020-12-24,73.57,0.09,1.45,21.53,6.93,5.22,14.9
105,2020-05-29,75.57,0.05,1.1159999999999999,27.51,4.0,5.37,10.91
106,2021-01-08,73.38,0.09,1.591,21.56,6.93,5.42,15.6
107,2021-01-21,73.02,0.09,1.633,21.32,4.59,5.35,16.05
108,2020-06-17,76.21,0.09,1.18,33.47,4.0,5.25,12.11
109,2021-02-04,72.98,0.08,1.72,21.77,4.59,5.43,16.05
110,2020-06-16,76.21,0.08,1.18,33.67,4.0,5.25,12.19
111,2021-02-17,72.75,0.08,1.729,21.5,4.06,5.41,16.96
112,2020-07-07,74.84,0.09,1.345,29.43,4.0,5.38,12.18
113,2021-03-03,73.01,0.07,1.814,24.1,4.06,5.62,16.14
114,2020-07-17,74.93,0.09,1.17,25.68,5.5,5.39,11.73
115,2021-03-16,72.56,0.07,1.7990000000000002,19.79,5.03,5.62,16.3
116,2020-07-30,74.86,0.1,1.11,24.76,5.5,5.17,12.11
117,2021-03-30,73.43,0.07,1.885,19.61,5.03,5.77,14.92
118,2020-08-07,75.04,0.1,1.12,22.21,5.5,5.44,12.67
119,2021-04-13,75.19,0.07,1.94,16.91,5.03,5.72,15.43
120,2020-08-20,74.99,0.09,1.29,22.72,5.5,5.56,13.01
121,2021-04-28,74.18,0.07,2.33,17.56,5.52,5.34,17.3
122,2020-08-21,74.99,0.09,1.29,22.54,5.5,5.56,12.83
123,2021-05-12,73.64,0.06,2.34,21.84,5.52,5.3,17.84
124,2020-09-16,73.71,0.09,1.295,26.04,5.5,5.24,12.35
125,2020-01-30,71.43,1.55,1.36,15.49,7.0,4.24,14.59
126,2020-02-07,71.52,1.55,1.34,15.47,7.0,4.32,14.92
127,2020-09-15,73.67,0.09,1.306,25.59,5.5,5.28,12.08
128,2020-02-18,71.57,1.55,1.365,14.83,7.35,4.36,15.28
129,2020-10-21,73.75,0.09,1.52,28.65,5.5,5.61,14.5
130,2020-02-28,72.18,1.58,1.271,40.11,4.2,4.47,14.46
131,2020-03-12,73.94,1.09,1.181,75.47,4.2,4.79,11.62
132,2020-11-17,74.49,0.09,1.42,22.71,5.5,5.33,15.31
133,2020-03-11,74.23,1.09,1.245,53.9,4.2,4.82,12.26
134,2020-11-27,73.95,0.08,1.4,20.84,7.61,5.34,14.82
135,2020-12-15,73.48,0.09,1.365,22.89,6.93,5.08,14.21
136,2021-01-07,73.4,0.09,1.5659999999999998,22.37,6.93,5.41,15.6
137,2021-01-19,73.11,0.09,1.663,23.24,4.59,5.36,16.1
138,2021-02-02,72.95,0.07,1.749,25.56,4.59,5.37,16.29
139,2020-05-18,75.88,0.05,1.067,29.3,4.0,5.86,10.8
140,2020-05-20,75.76,0.05,1.081,27.99,4.0,5.69,11.19
141,2021-02-16,72.95,0.08,1.729,21.46,4.06,5.37,16.73
142,2021-03-02,73.25,0.07,1.814,24.1,4.06,5.68,16.43
143,2020-06-04,75.4,0.06,1.185,25.81,4.0,5.12,11.73
144,2021-03-12,72.69,0.07,1.801,20.69,4.06,5.55,16.13
145,2020-06-12,75.96,0.08,1.158,36.09,4.0,5.05,11.87
146,2021-03-29,72.78,0.07,1.885,20.74,5.03,5.78,14.92
147,2021-04-08,74.62,0.07,1.905,16.95,5.03,5.57,15.18
148,2021-04-27,74.55,0.07,2.33,17.64,5.52,5.45,17.94
149,2020-07-08,74.95,0.09,1.36,28.08,4.0,5.34,12.08
150,2020-07-31,74.93,0.1,1.11,24.46,5.5,5.22,12.64
151,2020-08-12,74.82,0.1,1.217,22.28,5.5,5.38,12.84
152,2020-08-25,74.31,0.09,1.285,22.03,5.5,5.51,12.76
153,2020-09-03,73.48,0.09,1.306,33.6,5.5,5.29,12.07
154,2020-09-17,73.44,0.09,1.345,26.46,5.5,5.24,12.62
155,2020-10-09,72.96,0.09,1.4,25.0,5.5,5.53,14.23
156,2020-10-22,73.62,0.09,1.52,28.11,5.5,5.59,14.78
157,2020-11-04,74.31,0.09,1.35,29.57,5.5,5.66,14.65
158,2020-11-19,74.14,0.09,1.39,23.11,5.5,5.31,15.28
159,2020-12-01,73.53,0.08,1.35,20.77,7.61,5.21,14.51
160,2020-12-17,73.52,0.09,1.375,21.93,6.93,5.06,14.68
161,2020-12-29,73.74,0.09,1.51,23.08,6.93,5.21,15.04
162,2020-02-04,71.22,1.55,1.367,16.05,7.0,4.26,14.71
163,2021-01-12,73.14,0.09,1.591,23.33,6.93,5.32,15.46
164,2020-02-13,71.36,1.58,1.3430000000000002,14.15,4.2,4.34,15.16
165,2021-01-22,73.0,0.09,1.633,21.91,4.59,5.47,15.87
166,2020-02-25,71.76,1.58,1.3159999999999998,27.85,4.2,4.39,15.15
167,2021-02-05,72.79,0.08,1.72,20.87,4.59,5.37,16.42
168,2020-03-05,73.81,1.59,1.2570000000000001,39.62,4.2,4.61,13.42
169,2021-02-26,73.06,0.07,1.729,27.95,4.06,5.53,17.53
170,2020-03-25,75.45,0.15,0.9329999999999999,63.95,3.9,5.03,11.41
171,2021-03-11,72.69,0.07,1.801,21.91,4.06,5.54,16.36
172,2020-04-03,76.42,0.06,0.8640000000000001,46.8,3.9,5.35,10.31
173,2021-04-09,74.73,0.07,1.905,16.69,5.03,5.68,15.46
174,2020-04-29,75.83,0.04,0.9390000000000001,31.23,4.0,5.5,9.76
175,2021-04-29,74.16,0.07,2.33,17.28,5.52,5.34,17.08
176,2020-05-04,75.51,0.02,1.023,35.97,4.0,5.54,10.4
177,2021-05-11,73.4,0.06,2.34,19.66,5.52,5.22,18.1
178,2020-06-10,75.5,0.07,1.2,27.57,4.0,4.9,12.23
179,2020-06-18,76.23,0.09,1.23,32.94,4.0,5.38,11.89
180,2020-07-15,75.27,0.09,1.205,27.76,5.5,5.37,11.82
181,2020-07-24,74.96,0.09,1.17,25.84,5.5,5.21,11.49
182,2020-08-19,74.98,0.1,1.31,22.54,5.5,5.56,13.24
183,2020-09-01,73.07,0.09,1.365,26.12,5.5,5.4,12.6
184,2020-09-23,73.78,0.09,1.31,28.58,5.5,5.59,12.82
185,2020-10-15,73.39,0.09,1.43,26.97,5.5,5.61,14.18
186,2020-10-02,73.32,0.09,1.36,27.63,5.5,5.68,13.55
187,2020-10-23,73.83,0.09,1.495,27.55,5.5,5.62,14.72
188,2020-11-05,74.0,0.09,1.4,27.58,5.5,5.53,14.48
189,2020-11-06,73.98,0.09,1.36,24.86,5.5,5.36,14.91
190,2020-12-02,73.78,0.09,1.34,21.17,7.61,5.22,14.6
191,2020-12-16,73.51,0.09,1.365,22.5,6.93,5.08,14.49
192,2021-01-20,73.0,0.09,1.663,21.58,4.59,5.29,16.27
193,2021-02-03,72.94,0.08,1.749,22.91,4.59,5.35,16.04
194,2021-02-11,72.78,0.07,1.729,21.25,4.59,5.37,16.55
195,2021-02-24,72.33,0.07,1.729,21.34,4.06,5.41,18.16
196,2021-03-09,72.91,0.07,1.79,24.03,4.06,5.8,15.9
197,2021-03-23,72.62,0.07,1.7990000000000002,20.3,5.03,5.52,15.43
198,2021-04-20,75.37,0.07,2.16,17.29,5.52,5.57,16.77
199,2021-04-21,75.36,0.07,2.199,18.68,5.52,5.57,16.94
200,2020-01-29,71.46,1.55,1.3619999999999999,16.39,7.0,4.23,14.49
201,2020-02-06,71.21,1.55,1.3330000000000002,14.96,7.0,4.28,14.74
202,2020-02-27,71.96,1.58,1.271,39.16,4.2,4.49,14.39
203,2020-03-10,74.03,1.55,1.244,47.3,7.35,4.64,12.59
204,2020-03-24,76.14,0.2,0.922,61.67,3.9,5.1,11.27
205,2020-04-01,76.16,0.09,0.836,57.06,3.9,5.25,10.04
206,2020-04-16,76.85,0.05,0.97,40.11,4.0,5.24,10.16
207,2020-04-14,76.39,1.55,0.9440000000000001,37.76,7.35,5.2,10.05
208,2020-04-24,76.32,0.05,0.956,35.93,4.0,5.59,9.73
209,2020-05-01,75.41,0.04,1.008,37.19,4.0,5.49,10.97
210,2020-05-08,75.54,0.05,1.103,27.98,4.0,5.73,10.29
211,2020-05-15,75.88,0.05,1.067,31.89,4.0,5.86,10.38
212,2020-05-27,75.58,0.05,1.129,27.62,4.0,5.35,10.8
213,2020-06-03,75.51,1.55,1.147,25.66,7.35,5.06,11.62
214,2020-06-24,76.23,0.09,1.23,33.84,4.0,5.38,11.75
215,2020-06-30,75.52,0.08,1.205,30.43,4.0,5.46,11.84
216,2020-07-16,75.27,0.09,1.205,28.0,5.5,5.37,11.79
217,2020-07-29,74.86,0.1,1.11,24.1,5.5,5.17,12.01
218,2020-08-11,74.82,0.1,1.217,24.03,5.5,5.38,12.74
219,2020-09-02,73.37,0.09,1.306,26.57,5.5,5.34,12.44
220,2020-09-08,73.6,0.09,1.306,31.46,5.5,5.36,12.04
221,2020-09-25,73.7,0.09,1.29,26.38,5.5,5.56,13.0
222,2020-10-01,73.32,0.09,1.39,26.7,5.5,5.64,13.58
223,2020-10-30,74.55,0.09,1.38,38.02,5.5,5.74,14.36
224,2020-11-25,73.86,0.08,1.37,21.25,7.61,5.32,14.77
225,2020-12-22,73.85,0.09,1.45,24.23,6.93,5.16,14.54
226,2020-12-30,73.14,0.09,1.5230000000000001,22.77,6.93,5.19,15.28
227,2021-01-13,73.16,0.09,1.7380000000000002,22.21,6.93,5.3,15.84
228,2021-02-18,72.54,0.08,1.729,22.49,4.06,5.43,17.51
229,2021-03-04,73.08,0.07,1.76,28.57,4.06,5.67,16.26
230,2021-04-14,75.16,0.07,2.0,16.65,5.03,5.65,15.86
231,2021-05-04,73.78,0.05,2.44,18.61,5.52,5.44,17.12
232,2020-02-05,71.22,1.55,1.3519999999999999,15.15,7.0,4.24,14.73
233,2020-02-14,71.53,1.58,1.358,13.68,4.2,4.3,15.06
234,2020-02-26,71.65,1.58,1.3,27.56,4.2,4.45,14.79
235,2020-03-06,74.0,1.59,1.2409999999999999,41.94,4.2,4.63,13.02
